Date,Open,High,Low,Close,Volume,Adj Close
2020-12-25,503.99,520.09,496.81,514.36,22721.75088,514.36
2020-12-26,514.57,535.0,505.8,521.7,26194.6588,521.7
2020-12-27,521.66,582.42,510.82,557.0,46051.72433,557.0
2020-12-28,556.94,612.97,554.03,598.15,49264.83742,598.15
2020-12-29,597.99,606.06,564.21,596.85,37476.55339,596.85
2020-12-30,597.1,615.33,585.8,610.97,26246.10421,610.97
2020-12-31,611.04,614.5,590.25,603.38,24311.53484,603.38
2021-01-01,603.25,611.0,588.16,598.37,17999.46492,598.37
2021-01-02,598.6,639.0,570.37,623.61,37803.02913,623.61
2021-01-03,623.89,799.0,617.08,775.83,78259.5169,775.83
2021-01-04,776.86,906.88,725.0,847.61,118278.81836,847.61
2021-01-05,847.64,916.48,794.58,895.5,86946.31547,895.5
2021-01-06,895.5,987.0,862.48,980.49,77973.5298,980.49
2021-01-07,980.49,1050.1,930.28,994.35,78292.32639,994.35
2021-01-08,995.71,1040.0,870.14,989.81,84753.45183,989.81
2021-01-09,990.15,1052.0,956.66,1023.82,48831.41103,1023.82
2021-01-10,1023.76,1082.2,905.3,1014.72,73996.65111,1014.72
2021-01-11,1014.81,1019.17,750.99,896.32,186110.81696,896.32
2021-01-12,895.51,948.81,829.0,861.63,98939.13696,861.63
2021-01-13,861.88,936.86,810.0,929.71,69366.03578,929.71
2021-01-14,930.06,1026.34,897.24,1012.16,80471.16675,1012.16
2021-01-15,1012.21,1034.74,886.22,968.82,92696.48813,968.82
2021-01-16,968.73,1068.89,955.18,1017.78,56407.89389,1017.78
2021-01-17,1017.95,1047.34,968.39,1020.25,44877.16573,1020.25
2021-01-18,1019.31,1043.59,981.75,1041.79,36931.73355,1041.79
2021-01-19,1041.97,1190.09,1036.05,1130.97,92107.09654,1130.97
2021-01-20,1130.64,1163.11,1022.0,1137.98,87706.22819,1137.98
2021-01-21,1137.46,1147.76,894.0,914.37,113821.96906,914.37
2021-01-22,913.79,1050.0,855.0,1014.06,103027.01787,1014.06
2021-01-23,1013.94,1048.13,986.57,1015.49,50716.84438,1015.49
2021-01-24,1015.49,1150.24,1005.22,1145.66,61072.01442,1145.66
2021-01-25,1145.76,1210.88,1070.01,1088.77,80310.60219,1088.77
2021-01-26,1088.28,1137.62,1025.96,1124.1,71169.65408,1124.1
2021-01-27,1124.43,1131.15,1001.96,1027.05,85526.87226,1027.05
2021-01-28,1026.98,1123.62,1010.65,1099.55,61559.27552,1099.55
2021-01-29,1099.49,1183.0,1065.0,1138.04,90711.27855,1138.04
2021-01-30,1138.66,1160.05,1096.4,1137.66,37651.85289,1137.66
2021-01-31,1137.6,1139.01,1060.53,1085.27,34644.21569,1085.27
2021-02-01,1085.18,1141.9,1050.57,1140.02,39364.91959,1140.02
2021-02-02,1140.02,1286.88,1128.11,1256.51,90496.09976,1256.51
2021-02-03,1256.65,1389.7,1252.83,1384.91,80157.73387,1384.91
2021-02-04,1385.1,1410.98,1300.0,1336.46,81736.7557,1336.46
2021-02-05,1336.44,1469.48,1332.83,1430.54,73716.78899,1430.54
2021-02-06,1431.13,1449.87,1367.76,1395.46,53474.24723,1395.46
2021-02-07,1395.6,1409.44,1240.19,1341.95,74409.7354,1341.95
2021-02-08,1342.57,1476.11,1302.67,1455.7,67501.75105,1455.7
2021-02-09,1455.82,1510.34,1418.49,1464.8,63700.60617,1464.8
2021-02-10,1465.06,1518.08,1385.64,1441.39,65764.3015,1441.39
2021-02-11,1440.54,1497.81,1410.12,1475.39,43133.09105,1475.39
2021-02-12,1475.62,1542.0,1438.52,1522.93,47241.94321,1522.93
2021-02-13,1523.27,1548.0,1465.3,1504.07,30592.4581,1504.07
2021-02-14,1504.91,1529.0,1479.57,1490.9,25622.38105,1490.9
2021-02-15,1491.01,1517.98,1379.76,1470.63,53603.55858,1470.63
2021-02-16,1470.91,1536.0,1431.31,1476.65,43238.73716,1476.65
2021-02-17,1476.28,1544.37,1437.61,1539.12,42657.47806,1539.12
2021-02-18,1539.5,1617.64,1539.11,1608.82,50110.93995,1608.82
2021-02-19,1609.5,1628.94,1570.61,1615.6,48427.64308,1615.6
2021-02-20,1616.01,1680.5,1485.18,1582.53,52336.46823,1582.53
